epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1421.88,0.60418,0.55374,0.10026,0.83561,0.74284,0.81375,0.53943,0.85007,0.82292,0.11182,0.000675546,0.000675546,0.000675546
43,1455.61,0.60776,0.54936,0.1006,0.79771,0.82142,0.85517,0.55442,0.8733,0.70404,0.11329,0.00066191,0.00066191,0.00066191
44,1489.23,0.59095,0.54066,0.09975,0.83855,0.79238,0.83643,0.54875,0.84394,0.7299,0.11255,0.000648164,0.000648164,0.000648164
45,1522.87,0.58948,0.54031,0.09929,0.87583,0.78425,0.8503,0.55554,0.85113,0.68584,0.11292,0.000634322,0.000634322,0.000634322
46,1556.68,0.59345,0.53469,0.09962,0.82406,0.79533,0.84105,0.55109,0.84918,0.71726,0.11252,0.000620396,0.000620396,0.000620396
47,1590.39,0.57697,0.52035,0.09877,0.87164,0.769,0.83985,0.5365,0.87835,0.71754,0.1148,0.0006064,0.0006064,0.0006064
48,1624.22,0.57741,0.51966,0.09886,0.81566,0.78679,0.83657,0.55785,0.8316,0.70344,0.11144,0.000592349,0.000592349,0.000592349
49,1658.37,0.57151,0.51647,0.09833,0.82965,0.79951,0.84206,0.55037,0.85956,0.71414,0.11281,0.000578256,0.000578256,0.000578256
50,1692.13,0.57788,0.5165,0.09893,0.86352,0.76799,0.84878,0.55834,0.83775,0.70572,0.1123,0.000564135,0.000564135,0.000564135
51,1726.19,0.55934,0.50626,0.09786,0.85576,0.76953,0.84732,0.55462,0.84856,0.70384,0.11253,0.00055,0.00055,0.00055
52,1760.05,0.56189,0.50314,0.09783,0.83196,0.80292,0.84261,0.55318,0.84774,0.69197,0.11336,0.000535865,0.000535865,0.000535865
53,1793.75,0.55854,0.50133,0.09778,0.85166,0.785,0.84687,0.54647,0.87049,0.71587,0.11412,0.000521744,0.000521744,0.000521744
54,1827.44,0.56205,0.49803,0.09801,0.85601,0.77743,0.83831,0.54951,0.85334,0.706,0.11271,0.000507651,0.000507651,0.000507651
55,1861.3,0.55534,0.49532,0.09731,0.84856,0.79373,0.84509,0.55819,0.83793,0.68552,0.11209,0.0004936,0.0004936,0.0004936
